Taxpayer Number	Taxpayer Name	Taxpayer Address	Taxpayer City	Taxpayer State	Taxpayer Zip	Taxpayer County	Location Number	Location Name	Location Address	Location City	Location State	Location Zip	Location County	Inside/Outside City Limits	TABC Permit Number	Responsibility Begin Date	Responsibility End Date	Obligation End Date	Liquor Receipts	Wine Receipts	Beer Receipts	Cover Charge Receipts	Total Receipts
32038555739	VALENCIA ORANGES IV, LLC	4400 POST OAK PKWY STE 1640	HOUSTON	TX	77027	101	3	VALENCIA ORANGES IV, LLC	800 TOWN AND COUNTRY BLVD STE 139	HOUSTON	TX	77024	101	Y	MB790378	11/17/2011	3/20/2020	2/28/2019	682	650	220	0	1552
17419968528	UNIVERSITY FOOD SERVICES, INC.	2400 YORKMONT RD ATTN: BECKY ANDERSON/TA	CHARLOTTE	NC	28217	0	50	UFS @ UNIVERSITY OF HOUSTON STUDENT CENTER #42366	4800 CALHOUN RD	HOUSTON	TX	77204	101	Y	MB105400230	1/1/2023		10/31/2019	0	0	0	0	0
32059760796	THE FINAL SCORE, INC.	8422 KIRKBROOK DR	HOUSTON	TX	77089	101	1	THE FINAL SCORE, INC.	12880 BEAMER RD	HOUSTON	TX	77089	101	Y	MB956977	9/7/2016	3/1/2021	11/30/2019	19291	0	11007	0	30298
32051085341	HORSERADISH MAYONNAISE, L.L.C.	6412 N MAIN ST STE C	HOUSTON	TX	77009	101	1	LEI LOW	6412 N MAIN ST STE C	HOUSTON	TX	77009	101	Y	MB850404	8/30/2013		6/30/2019	105202	235	2237	0	107674
17605401953	NEIGHBORHOOD RESTAURANTS, INC.	13850 CUTTEN RD	HOUSTON	TX	77069	101	2	CAMPIONI RESTAURANT	13850 CUTTEN RD	HOUSTON	TX	77069	101	Y	MB851059	9/9/2013		8/31/2019	4515	23004	1942	0	29461
32055975331	BITTER M.F.K., LLC	1606 CLEAR LAKE CITY BLVD	HOUSTON	TX	77062	101	1	ROSEWATER	1606 CLEAR LAKE CITY BLVD	HOUSTON	TX	77062	101	Y	MB926353	11/9/2015		10/31/2019	52580	1483	1886	0	55949
17605968605	CHILOS SEAFOOD RESTAURANT, INC.	8334 GULF FWY	HOUSTON	TX	77017	101	1	CHILOS SEAFOOD RESTAURANT	8334 GULF FWY	HOUSTON	TX	77017	101	Y	MB449820	5/7/1999		2/28/2019	5655	0	17700	0	23355
32055257409	HANK'S CAJUN GRILL, INC.	4409 HIGHWAY 6 N	HOUSTON	TX	77084	101	2	HANK'S CAJUN GRILL	4409 HIGHWAY 6 N	HOUSTON	TX	77084	101	Y	MB948421	6/20/2016		8/31/2019	6816	363	8798	0	15977
32061378942	SUITE 100 EDWARDS, LLC	6134 WIGTON DR	HOUSTON	TX	77096	101	1	POITIN	2313 EDWARDS ST	HOUSTON	TX	77007	101	Y	MB1005432	1/25/2018	5/18/2020	9/30/2019	37698	22588	4859	0	65145
17408652000	RIVER OAKS COUNTRY CLUB	1600 RIVER OAKS BLVD	HOUSTON	TX	77019	101	1	RIVER OAKS COUNTRY CLUB	1600 RIVER OAKS BLVD	HOUSTON	TX	77019	101	Y	N 100101948	12/1/1993		9/30/2019	49709	5682	92681	0	148072
17602156279	EL PALENQUE MEXICAN RESTAURANT AND CANTINA, INC.	1485 SPRING CYPRESS RD	SPRING	TX	77373	101	2	EL PALENQUE MEXICAN RESTAURANT AND CANTINA	21161 TOMBALL PKWY	HOUSTON	TX	77070	101	N	MB208202	12/1/1993		2/28/2019	29228	356	4580	0	34164
17603801998	B.J.'S ICE HOUSE, LTD.	12640 BRIAR FOREST DR	HOUSTON	TX	77077	101	1	BIG JOHN'S ICE HOUSE	12640 BRIAR FOREST DR	HOUSTON	TX	77077	101	Y	MB234180	12/1/1993		10/31/2019	24403	1533	21452	0	47388
17606888323	THE POLLUTED PARROT, INC.	907 HAROLD ST	HOUSTON	TX	77006	101	1	GRIFF'S SHENANIGANS CAFE	3614 ROSELAND ST	HOUSTON	TX	77006	101	Y	MB507616	1/8/2002		2/28/2019	22366	295	11796	0	34457
17524461674	OUTBACK BEVERAGES OF TEXAS, LLC	2202 N WEST SHORE BLVD STE 500	TAMPA	FL	33607	0	31	OUTBACK STEAKHOUSE	5710 FM 1960 RD W	HOUSTON	TX	77069	101	Y	MB244055	1/1/2008	4/1/2024	4/30/2019	0	0	0	0	0
32040091871	4412 WASHINGTON, LLC	602 SAWYER ST STE 110	HOUSTON	TX	77007	101	1	LAURENZO'S GRILLE DELLO SPORT	4412 WASHINGTON AVE	HOUSTON	TX	77007	101	Y	MB735727	10/30/2009		10/31/2019	27755	28058	5181	0	60994
32070720860	SPIVEY'S UPTOWN, INC.	2802 FRANCIS ST	HOUSTON	TX	77004	101	1	SPIVEY'S UPTOWN	1419 S LOOP W	HOUSTON	TX	77054	101	Y	MB106369290	9/18/2019	9/30/2022	11/30/2019	0	0	0	0	0
17521936322	300, INC.	7313 BELL CREEK RD	MECHANICSVLLE	VA	23111	0	41	AMF DIAMOND LANES	267 N FOREST BLVD	HOUSTON	TX	77090	101	Y	MB687147	3/18/2008		2/28/2019	11575	564	13692	0	25831
32050952376	CHAYO FOODS INC	12822 WILLOW CENTRE DR STE A	HOUSTON	TX	77066	101	1	HUASTECA MEXICAN GRILL	11650 SOUTHWEST FWY	HOUSTON	TX	77031	101	Y	MB848513	8/9/2013		2/28/2019	578	0	582	0	1160
17606595761	MHI HOUSTON BEVERAGES, L.L.C.	6404 IVY LN STE 800	GREENBELT	MD	20770	0	1	PART & PARCEL/EDGAR'S HERMANO	1700 SMITH ST	HOUSTON	TX	77002	101	Y	MB489873	3/28/2001	3/26/2020	6/30/2019	39244	14288	21308	232	75072
17522637846	BELLA BEVERAGE CORPORATION	5851 LEGACY CIR STE 400	PLANO	TX	75024	43	1	HILTON HOUSTON PLAZA MEDICAL CENTER GRAB AND GO	6633 TRAVIS ST	HOUSTON	TX	77030	101	Y	MB204978	12/1/1993		7/31/2019	19145	7907	9892	0	36944
